type,url
ops,login.actionspsort.cam
ops,login.akasmisoft.xyz
ops,login.aueuth11.live
ops,login.auth009.xyz
ops,login.auth2022.live
ops,login.auth83kl.live
ops,login.bittermann-hh.co
ops,login.cbhbanlc.com
ops,login.cleanifl.com
ops,login.clfonl365.xyz
ops,login.gddss36.live
ops,login.grodno-pl.com
ops,login.hfs923.shop
ops,login.karlandpearson.com
ops,login.klm2136.click
ops,login.login-micro.mcrsfts-passwdupdate.com
ops,login.mcrosfts-updata.live
ops,login.mcrosfts-update.cloud
ops,login.mcrosfts-update.digital
ops,login.mcrosftts-update.cloud
ops,login.mcrsft-audio.xyz
ops,login.mcrsfts-cloud.live
ops,login.mcrsfts-passwd.cloud
ops,login.mcrsfts-passwd.digital
ops,login.mcrsfts-passwdupdate.com
ops,login.mcrsfts-update.cloud
ops,login.mcrsfts-update.digital
ops,login.mcrsfts-virtualofficevm.com
ops,login.mcrsftsvm-app.digital
ops,login.mcrsftsvm-app.live
ops,login.mcrsfts-voiceapp.digital
ops,login.mcrsftsvoice-mail.cloud
ops,login.microsecurity.us
ops,login.microstoff.xyz
ops,login.mljs365.xyz
ops,login.mwhhncndn.xyz
ops,login.mycrsfts-passwd.live
